Product Name,2016-08-05 21:21:40 +0100
Cabo adaptador 6-pin PCI-E p/ 8-pin PCI-E,3.9
Adaptador ATX 20/24 Pinos,3.9
Cabo Adaptador 3 pinos -> 6 x 3 pinos,3.9
Nox Fan NX80,3.9
Bitspower Cabo Espiral 4mm - 1m UV Vermelho,3.9
Bitspower Cabo Espiral 4mm - 1m UV Amarelo,3.9
Bitspower Cabo Espiral 4mm - 1m UV Verde,3.9
Cabo Smartcoil Verde UV 1Metro,3.9
Xilence Cooler p/Chipset Passivo,3.9
Xilence Cooler p/Chipset Universal c/Fan,3.9
Revoltec Fan 60mm AIR Guard Black Edition,3.9
Arctic Cooling Ati Silencer2,3.9
Filtro Aluminio 92mm Preto,3.9
Delock Slot Bracket 1xeSATA 6 Gb/s,3.9
Delock Adaptador 2.5 P/ 3.5 - 18205,3.9
Cooler Master SSD Bracket ( 2 x 2.5 ),3.9
Arctic Ceramique 2 (2.7gr),3.9
Cooler Master MasterGel 4Gr,3.9
BitFenix Extensão 4Pin (Molex) 45cm - Sleeve Preto,4.5
Adaptador ATX 24/20 Pinos,4.5
Revoltec Cold Cathode Duplo 10cm Amarelo,4.5
Arctic Cooling F8 Pro PWM,4.5
Arctic Cooling F9 PWM,4.5
Zalman ZM-NB47J,4.5
SilverStone 120mm Fan Grill+ Filter Kit,4.5
Delock Slot Bracket 2xeSATA 6 Gb/s,4.5
Arctic MX-2 - 4g,4.5
EK Water Blocks Cable Y-Splitter 3 Fan DC (10cm),4.5
Arctic Cooling F8 Silent,4.5
Módulo retenção SK478,4.5
EK Water Blocks Sensor Temperatura 2 Pinos,4.5
Arctic Cooling F9 Pro,4.5
Sharkoon Cold Cathode 30cm Amarelo,4.9
Revoltec Cold Cathode Duplo 30cm Amarelo,4.9
Cooler Master CPU Cooler Intel 1150/55/56 (DP6-9EDSA-OL-GP),4.9
Conceptronic Bluetooth PCMCIA 100M,4.9
Arctic Cooling F12,4.9
Dimastech Cabo p/Botão Power - 600mm,4.9
Bitspower Adaptador de Fan 120mm p/ 140mm,4.9
Bitspower Ultimate Fan Adapter 80/92mm p/ 120mm - Black,4.9
Thermaltake TMG AT2 CL-G0086,4.9
Scythe Bay Rafter 2.5 e SSD,4.9
Adaptador HDD 2.5 > 3.5 IDE,4.9
Corsair SSD Mounting Bracket,4.9
1Life ca:dual Adaptador 2.5 HDD/SSD,4.9
Scythe Bay Rafter 3.5,4.9
EK Water Blocks Cable PWM Fan Extension (30cm),4.9
EK Water Blocks Cable Y-Splitter 2 Fan PWM (10cm),4.9
EK Water Blocks Cable Y-Splitter 3 Fan PWM (10cm),4.9
Xigmatek l7753 Crossbow Kit,4.9
Xigmatek l7751 Crossbow Kit,4.9
Arctic Cooling PST Cable (PWM Sharing Cable),4.9
Phanteks Modular 3.5 HDD Bracket,4.9
Cooler MasterGel Pro,4.9
Arctic Cooling F9 Pro PWM,5.5
Nox TG-1 Thermal Grease,5.5
Phasak Massa térmica 50g em Boião - Branca,5.5
BitFenix Extensão 4Pin ATX12V 45cm - Sleeve Preto,5.9
BitFenix Extensão 3Pin 60cm - Sleeve Preto,5.9
BitFenix Extensão 4Pin ATX12V 45cm - Sleeve Red,5.9
Autocolante Modding Counter Strike,5.9
Autocolante Modding Black Dragon,5.9
Autocolante Modding Skull,5.9
Team Elite DDR2 512MB PC5300 Cas 4,5.9
Team So-Dimm DDR2 512MB PC4300,5.9
Akasa Ultra Quiet Series Emperor Blue 120mm,5.9
Nox fan NX120 White LED,5.9
Nox Coolfan 120mm LED Red,5.9
Nox Coolfan 120mm LED Blue,5.9
Nox Coolfan 120mm LED Green,5.9
Nox Coolfan 120mm LED White,5.9
Aerocool Lightning Red LED - 120mm,5.9
Arctic Cooling F12 PWM Rev.2,5.9
Kit 8 Dissipadores Aluminio p/RAM,5.9
Filtro Aluminio 140mm Preto,5.9
EK Water Blocks EK-CSQ Fitting 13/19mm G1/4 - Nickel,5.9
Grelha Modding LaserCut Biohazard 120mm,5.9
Grelha Modding LaserCut CounterStrike 120mm,5.9
Arctic Cooling MX-4 4Gr,5.9
Zalman ZM-STG2,5.9
Arctic MX-2 - 8g,5.9
Akasa Thermal Adhesive Tape (AK-TT12-80),5.9
EK Water Blocks TIM Ectotherm (5g),5.9
Deepcool XFAN 80L/B,5.9
Phasak Massa térmica 50g em Boião - Cinza,6.0
BitFenix Extensão 8Pin EPS12V 45cm - Sleeve Preto,6.5
BitFenix Extensão 8Pin EPS12V 45cm - Sleeve Blue/Blue,6.5
BitFenix Extensão 8Pin EPS12V 45cm - Sleeve Blue/Black,6.5
Deepcool Wind Blade 80mm - Blue LED,6.5
Tacens Mars Gaming Fan 120MM Red LED - MF12,6.5
Nox Fan NX140,6.5
SilverStone Magnetic Fan Filter 120mm,6.5
Gembird Conversor IDE/SATA,6.5
Adaptador Sata (F) p/ IDE 2.5 (M),6.5
Halfmman Thermal Pad TP01 (1mm),6.5
Xigmatek I7361 - Sockel 1366 Crossbow Kit,6.5
Xigmatek I7363 - Sockel 1366 Crossbow Kit,6.5
BitFenix Extensão 8Pin EPS12V 45cm - Sleeve Branco,6.9
BitFenix Adaptador 3 x Molex Sleeve Black - 55cm,6.9
Cooler Master CPU Cooler Intel 1156/55/50 (DP6-8E5SB-0L-GP),6.9
BitFenix Extensão 8Pin EPS12V 45cm - Sleeve Red,6.9
Aerocool Lightning Blue LED - 120mm ,6.9
Akasa Ultra Quiet Series Emperor Blue 140mm,6.9
Aerocool Lightning Blue LED - 140mm,6.9
Scythe Hard Disk Stabilizer 2,6.9
SilverStone 1 x 8pin to EPS12V 8pin(4+4) Connector - White,6.9
Phasak Massa Térmica - Seringa 25gr,6.9
Cryorig CP15,6.9
Akasa Flexa FP3S (3 PWM fans),6.9
Deepcool XFAN 120L/B,6.9
Cooler Master Socket Retention LGA 1366,6.9
Nox Hummer H-Fan PWM 120mm,6.9
Nox Hummer H-Fan 120mm - LED Green,6.9
Nox Hummer H-Fan 120mm - LED Blue,6.9
Nox Hummer H-Fan 120mm - LED Red,6.9
Nox Hummer H-Fan 120mm - LED White,6.9
Arctic Cooling Alpine 11 GT Rev.2,7.5
Enermax TB Silence UCTB8 Fan 80mm,7.5
Cooler Master SickleFlow 120MM Blue,7.5
Aerocool Lightning Red LED - 140mm,7.5
Zalman ZM-NB47F,7.5
Logilink Placa PCI USB 4+1 USB 2.0 - PC0028,7.5
Phanteks SSD Bracket ( 2 x 2.5 ),7.5
Halfmman Thermal Pad TP02 (2mm),7.5
Noctua NA-SAVP1 chromax.red Anti-Vibration Pads,7.5
A-data Vitesta 256MB DDR566 PC4500,7.9
Revoltec Cold Cathode Duplo 30cm Verde,7.9
BitFenix Extensão 6-Pin PCI-E 45cm - Sleeve Preto,7.9
BitFenix Extensão 8-Pin PCI-E 45cm - Sleeve Azul/Preto,7.9
BitFenix Extensão 6-Pin PCI-E 45cm - Sleeve Branco,7.9
BitFenix Extensão 8-Pin PCI-E 45cm - Sleeve Preto,7.9
Enermax TB Silence UCTB8A (Manual) Fan 80mm,7.9
Enermax TB Silence UCTB9 Fan 92mm,7.9
Cooler Master SickleFlow 120MM Red,7.9
Revoltec Fan 120mm com Leds Vermelhos,7.9
Arctic Cooling F12 PWM CO,7.9
Cooler Master BC 140mm Led Green,7.9
Thermaltake TMG ND2 CL-G0078,7.9
Arctic Ceramique 2 (25gr),7.9
Arctic Silver 5 (3.5gr),7.9
Arctic Alumina Thermal Adhesive,7.9
Akasa Flexa FP5S (5 PWM fans),7.9
Noctua NM-L2011 Mounting Kit LGA2011,7.9
Fractal Design Silent Series R3 120mm,7.9
BitFenix Extensão 6-Pin PCI-E 45cm - Sleeve Blue/Blue,8.5
BitFenix Extensão 8-Pin PCI-E 45cm - Sleeve Red,8.5
Cable Sleeving Preto,8.5
Cooler Master SickleFlow 120MM Green,8.5
Arctic Cooling F14 PWM,8.5
Revoltec Chipset Cooler - Bundle,8.5
PrimoChill PrimoFlex Advanced LRT 19/13mm 1M - Red,8.5
Thermal Grizzly Conductonaut Liquid Metal - 1Gr,8.5
Noctua NM-i115x Mounting Kit,8.5
Fractal Design Silent Series R3 140mm,8.5
BitFenix Extensão 24Pin 30cm - Sleeve Preto,8.9
BitFenix Extensão 24Pin 30cm - Sleeve Branco,8.9
BitFenix Extensão 24Pin 30cm - Sleeve Red,8.9
BitFenix Extensão 6-Pin PCI-E 45cm - Sleeve Red,8.9
Adaptador 24Pin p/ 14Pin ATX,8.9
Enermax TB Silence UCTB8P (PWM) Fan 80mm,8.9
Xigmatek XLF-F1254 Blackline LED - 120mm,8.9
Xigmatek XLF-F1256 Blueline LED - 120mm,8.9
Enermax Magma Advance Fan 120mm,8.9
Club 3D AMD CrossFireX Bridge Interconnect,8.9
Extensão PCI-E 16X (19cm),8.9
Raijintek Aeolus Alpha 140mm Red/White 13mm SuperSlim Fan,8.9
Aerocool Air Force Red LED - 140mm,8.9
Delock Adaptador SATA Slim 13pin p/ SATA,8.9
Delock Adaptador IDE Slim CD-Rom p/ IDE 40pin,8.9
Delock Placa PCI USB 5 Portas 2.0,8.9
Conceptronic 4+1 USB 2.0 PCI - C480I5,8.9
Arctic Copper Silent 3,9.5
Revoltec Cold Cathode Duplo 30cm - Azul,9.5
Revoltec Cold Cathode Duplo 10cm - Vermelho,9.5
BitFenix Extensão 24Pin 30cm - Sleeve Blue/Black,9.5
Enermax TB Silence UCTB12 Fan 120mm,9.5
Zalman ZM-STG1 Thermal Grease,9.5
Arctic Cooling Alpine 64 PRO Rev.2,9.9
Arctic Cooling Alpine 11 Pro Rev.2,9.9
Revoltec Cold Cathode Duplo 30cm - Vermelho,9.9
Tacens Mars Gaming CPU Cooler - MCPU1,9.9
Raijintek Aeolus Beta 120mm Red/White 13mm SuperSlim Fan,9.9
Raijintek Aeolus Beta 120mm Black 13mm SuperSlim Fan,9.9
Raijintek Aeolus Beta 120mm Black/White 13mm SuperSlim Fan,9.9
Raijintek Aeolus Alpha 140mm Black/White 13mm SuperSlim Fan,9.9
Raijintek Aeolus Alpha 140mm Black 13mm SuperSlim Fan,9.9
Aerocool Air Force Orange LED - 140mm,9.9
Aerocool Air Force White LED - 140mm,9.9
Dimastech Botão Anti-Vandalismo Silver 19mm - RED Led,9.9
Bitfenix Lateral (Black Window) - Comrade & Neos,9.9
Aerocool Lightning Red LED - 200mm,9.9
Delock Conversor IDE 40pin p/ Compact Flash - 91624,9.9
Scythe Slot Rafter 2.5 (HDD/SSD),9.9
Thermaltake TMG ND4 CL-W0153,9.9
Thermaltake TMG AT3 CL-W0131,9.9
Akasa AK-MX010 Adaptador 2 x 2.5 SSD,9.9
Akasa AK-HDA-05 (Adaptador 2.5/3.5 p/ 5.25),9.9
Port Designs Colorado Universal HDD 2.5 Case - Verde,9.9
Port Designs Colorado Universal HDD 2.5 Case - Rosa,9.9
Caddy 2.5 HDD p/Sony PS3 Slim,9.9
NZXT Sleeved LED Kit 100cm - Red,9.9
NZXT Sleeved LED Kit 100cm - White,9.9
Cooler MasterGel Maker Nano,9.9
Cryorig CP7,9.9
BitFenix Extensão 24Pin 30cm - Sleeve Red/Black,10.5
Cooler Master Silencio FP 120mm 3Pin,10.5
Conceptronic 3 x Firewire 1394 PCI - CI1394B,10.9
Enermax Everest Advance Fan 120mm - Blue LED,10.9
Antec TrueQuiet 120mm,10.9
Enermax T.B.Silence PWM Fan 120mm,10.9
BitFenix Alchemy 2.0 Magnetic LED-Strip 12CM - Purple,11.5
BitFenix Alchemy 2.0 Magnetic LED-Strip 12CM - White,11.5
BitFenix Alchemy 2.0 Magnetic LED-Strip 12CM - Red,11.5
BitFenix Alchemy 2.0 Magnetic LED-Strip 12CM - Blue,11.5
BitFenix Alchemy 2.0 Magnetic LED-Strip 12CM - Green,11.5
Aerocool Lightning Blue LED - 200mm,11.5
Lamptron FlexLight PRO - 30 Leds (Venom Green),11.9
Xigmatek Apache III EP-CD903,11.9
Kingston DDR3 2048MB 1600Mhz,11.9
Cooler Master Turbine Master 120mm,11.9
Cooler Master Silencio FP 120mm PWM,11.9
BitFenix Spectre Fan 200mm - Black,11.9
Delock Pen USB eSATA + SATA,11.9
Xilence Cooler Socket A,12.5
Nox Cooler CPU Hummer H-112,12.5
Kingston DDR3 2048MB 1333Mhz,12.5
HammerRam DDR2 1024MB 800MHz,12.5
Kingston SODimm 2048MB DDR3/1333,12.5
Logilink Conversor IDE/SATA,12.5
Deepcool Ultra Silent 80mm - UF80,12.9
Corsair AF120 Quiet Edition White Led 120mm Fan,12.9
Corsair AF120 Quiet Edition High Blue Led 120mm Fan,12.9
Enermax Twister Pressure Fan 120mm,12.9
Xigmatek XLF-F1453 Orangeline LED - 140mm,12.9
Xigmatek XLF-F1454 Blueline LED - 140mm,12.9
Enermax T.B.Silence Fixed RPM Fan 140 mm,12.9
Enermax T.B. Apollish Fan 140mm - Blue LED,12.9
Enermax T.B. Apollish Fan 140mm - Red,12.9
Digitus PCI 2xSerial + 1xParalelo,12.9
Delock Conversor IDE/SATA,12.9
Gembird Slim Mounting Frame 5.25 (9.5mm),12.9
Arctic Silver Thermal Adhesive 7Gr,12.9
ArctiClean Kit de limpeza,12.9
Fractal Design Dynamic GP-14 - Black,12.9
NoiseBlocker Multiframe S-series 80mm M8 S3,13.5
Cryorig QF120 Silent,13.5
Cryorig QF120 Performance,13.5
Cryorig QF120 Balance,13.5
Aerocool Shark Devil Red Edition LED - 140mm,13.5
Longshine Placa PCI 2 x Paralelo - LCS-6020,13.5
BitFenix Spectre Fan 230mm - Black,13.5
BitFenix Spectre Fan 230mm - White ,13.5
Kaspersky Anti-Virus 2015 - 1 PC,13.9
1Life Jet 450W Fan 80mm,13.9
Bitfenix Spectre PRO 120mm Blue LED,13.9
Bitfenix Spectre PRO 120mm White LED,13.9
Bitfenix Spectre PRO 120mm Red LED,13.9
Kingston ValueRAM SODIMM DDR3 2GB 1600MHz,13.9
Enermax T.B.Silence PWM Fan 140mm,13.9
BitFenix Spectre PRO Fan 140mm - Black,13.9
Cryorig CP5,13.9
NZXT Grid Ten Port Fan Hub,13.9
Arctic Cooling Alpine 20 Plus,14.5
Corsair Value Select 2048MB DDR3 1333Mhz CAS9,14.5
Alpenfohn Wing Boost PWM Fan 140mm,14.5
Zalman CNPS90F Ultra Quiet,14.9
Xigmatek TYR SD962,14.9
TOOQ Ecopower II ATX 500W (SSE),14.9
Corsair Value Select SODimm 1024MB DDR2/667MHz,14.9
Corsair Value Select SODimm 2048MB DDR3/1333,14.9
Antec TrueQuiet 120mm UFO - Red,14.9
Enermax T.B. Vegas Single 120mm - White,14.9
NoiseBlocker BlacksilentFan Pro PK-2,14.9
Bitfenix Spectre PRO 140mm White LED,14.9
Corsair AF140 Quiet Edition White Led 140mm Fan,14.9
Enermax Twister Cluster Advance 140mm,14.9
Cryorig XF140,14.9
Cryorig XT140,14.9
Adaptador SSD p/SATA 7+17 Pinos p/Apple,14.9
Cooler Master Fan Pro 120 Air Balance,14.9
Cooler Master Fan Pro 120 Air Pressure,14.9
Cooler Master Fan Pro 120 Air Flow,14.9
G.Skill DDR2 1024MB PC5400 (667Mhz) CL5,15.5
Corsair AF140 Quiet Edition High Red Led 140mm Fan,15.5
Noctua NF-A4x10 FLX - 40mm,15.5
Logilink Placa de Som 7.1 PCI,15.5
Kaspersky Anti-Virus 2015 - 3 PCs,15.9
Corsair Value Select DDR2 1024MB 667Mhz,15.9
Gskill DDR2 1024MB 800Mhz CL5,15.9
L-Link Fonte ATX 500W,15.9
Corsair AF120 Quiet Edition Red Led 120mm Fan,15.9
Corsair SP120 PWM Quiet Edition 120mm,15.9
Enermax TB VEGAS SINGLE UCTVS12P-R Fan 120mm,15.9
Antec TrueQuiet 120mm UFO - White,15.9
Antec TrueQuiet 120mm UFO - Blue,15.9
Antec TrueQuiet 120mm UFO - Green,15.9
EK Water Blocks Vardar F3-120 (1850rpm),15.9
EK Water Blocks Vardar F4-120 (2200rpm),15.9
EK Water Blocks Vardar F2-120 (1450rpm),15.9
EK Water Blocks Vardar F1-120 (1150rpm),15.9
Bitfenix Spectre PRO 140mm Red LED,15.9
Bitfenix Spectre PRO 140mm Blue LED,15.9
Corsair AF140 Quiet Edition High Blue Led 140mm Fan,15.9
Corsair AF140 Quiet Edition Purple Led 140mm Fan,15.9
"Halfmman Adaptador IDE,Sata/USB2.0",15.9
1Life 9.5mm Universal Second HDD Caddy,15.9
1Life 12.7mm Universal Second HDD Caddy,15.9
Arctic MX-2 - 30g,15.9
1Life ps:jet 500W 80mm,15.9
Phanteks PH-F140SP 140mm Red LED,16.0
Corsair Value Select DDR2 1024MB 533Mhz,16.5
Noctua Fan NF-S12B ULN 500-700RPM,16.5
Corsair AF120 Quiet Edition High Airflow 120mm Fan,16.5
Corsair SP120 High Performance Edition High Airflow 120mmFan,16.5
BitFenix Spectre PRO 200mm Black,16.5
Aixcase Blackline 2 x USB 3.0 PCI-E - AIX-BLPCIEX1U3,16.5
Conceptronic Placa 2 x USB 3.0 - PCI-E,16.5
Arctic Cooling Freezer 64 LP,16.9
Phanteks Enthoo Luxe Multicolor LED Strip - 100cm,16.9
Crucial DDR2 1024MB 667Mhz,16.9
Corsair Value Select SODimm 1024MB DDR2/533,16.9
Corsair AF120 Performance Edition High Airflow 120mm Fan,16.9
Cooler Master JetFlo 120mm Blue,16.9
Cooler Master JetFlo 120mm Red,16.9
Aerocool DS (Dead Silence) Black - 120mm,16.9
Zalman ZM DF12 (120mm) Blue LED,16.9
Thermaltake Riing 12 High Static Pressure - 120mm Red ,16.9
Thermaltake Riing 12 High Static Pressure - 120mm Blue,16.9
Longshine Placa PCI-E 1 x Paralelo - LCS-6319O,16.9
Cooler Master MegaFlow 200 Red LED Silent Fan,16.9
Delock SATA Adapter Delock SATA 22pin -> ZIF SSD,16.9
Fractal Design Venturi HP-12 PWM - Black,16.9
Kingston SODimm 1024MB DDR2/667,17.0
Kingston DDR2 1024MB 800MHz,17.5
Kingston SODimm 1024MB DDR2/800,17.5
NoiseBlocker Multiframe S-series 120mm M12 S2,17.5
Noctua NF-A6x25 FLX - 60mm,17.5
Corsair ATX 24pin Sleeved AX 860/760 (Gen 2) - Red,17.9
Crucial DDR4 4GB 2133MHz,17.9
Crucial DDR3 4GB 1600MHz 1.5V,17.9
LG DVD+/-Rw 24x DLayer Sata Preto Bulk,17.9
Panasonic DVD-RW-Brenner Slim UJ8E0ADPN1-B - Black,17.9
Corsair SP120 PWM High Performance Edition 120mm,17.9
Cooler Master JetFlo 120mm White,17.9
Kingston SODimm 4096MB DDR3/1600 Low Voltage (KVR16LS11/4),17.9
Crucial SODimm DDR3 4GB 1600Mhz CAS11,17.9
Thermaltake Riing 12 High Static Pressure - 120mm Yellow,17.9
Thermaltake Riing 12 High Static Pressure - 120mm Orange,17.9
Thermaltake Riing 12 High Static Pressure - 120mm White,17.9
Deepcool Ultra Silent 140mm - UF140,17.9
Arctic Cooling Accelero L2 PLUS,17.9
Arctic Cooling MX-4 20Gr,17.9
Corsair SP120 Quiet Edition Static Pressure 120mm Fan,18.5
Aerocool DS (Dead Silence) Red - 120mm,18.5
Aerocool DS (Dead Silence) Red - 140mm,18.5
Cooler Master MegaFlow 200 Blue LED Silent Fan,18.5
Kaspersky Anti-Virus 2016 - 3 PCs (RENOVAÇÃO 1 ANO),18.9
Corsair Value Select SODimm 512MB 333Mhz CAS2.5,18.9
Phasak Fonte 400W MATX/SFX,18.9
Crucial Ballistix Sport DDR3 4096MB 1600Mhz,18.9
Asus DVR 24x DLayer Sata Preto Bulk,18.9
Samsung DVD±RW 24X Dual Layer Black Bulk Sata - SH-224BB,18.9
Lite-On iHAS124-14 DVD+/-Rw 24x SATA Black Bulk,18.9
Aerocool DS (Dead Silence) Blue - 120mm ,18.9
Aerocool DS (Dead Silence) White - 120mm,18.9
NZXT Internal USB Expansion IU01,18.9
Phanteks PH-F120MP 120mm,18.9
Phanteks PH-F140MP 140mm,18.9
Kingston DDR3 4096MB 1600Mhz,19.5
Noctua NF-S12A FLX,19.5
Noctua NF-S12A PWM,19.5
Noctua NF-S12A ULN,19.5
Thermaltake Riing 12 High Static Pressure - 120mm Green,19.5
BitFenix Spectre PRO 200mm Blue LED,19.5
BitFenix Spectre PRO Fan 230mm - Black,19.5
"Logilink Adaptador IDE,Sata/USB2.0",19.5
Ewent Placa de som 7.1 com SPDIF - EW3752,19.5
Kingston ValueRAM DDR4 4GB 2400MHz - KVR24N17S8/4,19.5
Arctic Cooling Freezer 7 Pro Rev.2,19.9
Thermaltake MINI TYPHOON CL-P0268,19.9
Thermaltake Mini Typhoon 90 Value Pack,19.9
NZXT Sleeved LED Kit 200cm - Blue,19.9
NZXT Sleeved LED Kit 200cm - Green,19.9
NZXT Sleeved LED Kit 200cm - Orange,19.9
NZXT Sleeved LED Kit 200cm - Red,19.9
Kaspersky Anti-Virus 2016 - 1PC,19.9
Kaspersky Internet Security 2016 Multi-Device - 1 PC,19.9
Corsair Value Select SODimm 512MB PC3200 CL3,19.9
Kingston DDR3 4096MB 1333Mhz,19.9
Kingston DDR4 HyperX FURY Black 4GB 2133MHz Cas14,19.9
Kingston ValueRAM DDR4 4GB 2133MHz,19.9
Crucial DDR3 4GB 1600MHz 1.35V,19.9
Full High Profile Bracket for Nvidia Quadro K1200 NVS 510,19.9
Corsair AF140 Quiet Edition High Airflow 140mm Fan,19.9
Aerocool DS (Dead Silence) Blue - 140mm ,19.9
Noctua NF-A14 PWM (140mm),19.9
Zalman ZM DF14 (140mm) Red LED,19.9
Zalman ZM DF14 (140mm) Blue LED,19.9
Thermaltake Riing 14 High Static Pressure - 140mm Orange,19.9
Thermaltake Riing 14 High Static Pressure - 140mm White,19.9
Thermaltake Riing 14 High Static Pressure - 140mm Blue,19.9
Delock Placa 2 x USB 3.0 PCI-E,19.9
Adaptador 2.5 Sata p/ IDE Drive Slim 5.25,19.9
Adaptador 2.5 Sata p/ Sata Drive Slim 5.25 (12.7mm),19.9
LogiLink USB 2.0 Audio and Video Grabber - VG0001A,19.9
Fractal Design Venturi HP-14 PWM - Black,19.9
Raijintek Zelos Heatpipe CPU Cooler (Low Profile) - 92mm,20.5
NZXT Sleeved LED Kit 200cm - White,20.5
TOOQ Ecopower II ATX 500W,20.5
Icy Box IB 128SK-B SATA,20.5
LogiLink Placa de Captura de Video USB 2.0 - VG0005,20.5
BitFenix Alchemy 2.0 Magnetic LED-Strip 30CM - Purple,20.9
BitFenix Alchemy 2.0 Magnetic LED-Strip 30CM - Green,20.9
1Life Jet 500W Fan 120mm White Fan,20.9
Kingston DDR3 HyperX FURY Blue 4GB 1600MHz Cas10,20.9
Kingston DDR4 HyperX FURY Black 4GB 2400MHz Cas15,20.9
G.Skill Value DDR4 4GB 2400MHz CAS15,20.9
G.Skill SK SODIMM DDR2 1GB 800MHz CAS5,20.9
Samsung DVD+/-RW 8x Slim Dual Layer Preto Bulk SATA ,20.9
Corsair Value Select SODimm 4096MB DDR3/1066,20.9
Kingston DDR3 HyperX FURY Black 4GB 1866MHz Cas10,20.9
Samsung SU-208HB DVD-RW Slim Sata Preto Bulk,20.9
Aerocool DS (Dead Silence) Black - 140mm,20.9
Longshine LCS-6321O,20.9
Bitfenix Spectre PRO 230mm Red LED,20.9
Enermax T.B. Vegas Quad 180mm - 4-color LED,20.9
Nox Blaze Adaptador Swap (2 x 2.5 + USB 3.0),20.9
G.Skill SODimm 4GB DDR3 1600MHz CAS11,20.9
